Title:,"Time Series, Area-Averaged of Chlorophyll a concentration monthly 4 km [MODIS-Aqua MODISA_L3m_CHL v2018] ()"
User Start Date:,2010-07-01T00:00:00Z
User End Date:,2020-08-31T23:59:59Z
User Bounding Box:,"33.5522,-1.2854,34.1675,-0.5054"
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2010-07-01T00:00:00Z&endtime=2020-08-31T23:59:59Z&shape=state_dept_countries_2017/shp_116&bbox=33.5522,-1.2854,34.1675,-0.5054&data=MODISA_L3m_CHL_2018_chlor_a&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_CHL_2018_chlor_a):, -32767

time, mean_MODISA_L3m_CHL_2018_chlor_a
2010-07-01 01:05:00,55.8262291
2010-08-01 00:30:01,32.192482
2010-09-01 00:00:01,24.7712193
2010-10-01 00:05:01,27.0684681
2010-11-01 00:25:01,30.1888885
2010-12-01 00:35:01,24.7814922
2011-01-01 00:25:01,37.9735985
2011-02-01 00:50:00,47.6154175
2011-03-01 00:10:01,19.8738117
2011-04-01 00:30:01,22.8110428
2011-05-01 01:00:00,44.3831978
2011-06-01 00:30:00,43.2139473
2011-07-01 00:40:01,31.3614979
2011-08-01 00:05:01,30.2175312
2011-09-01 00:50:00,22.3694763
2011-10-01 00:35:00,21.0827217
2011-11-01 00:25:01,12.7136602
2011-12-01 00:05:00,36.6833458
2012-01-01 00:00:00,36.1811638
2012-02-01 00:15:01,28.3718758
2012-03-01 00:20:01,25.3698616
2012-04-01 00:45:01,20.2672768
2012-05-01 00:00:01,22.849062
2012-06-01 00:40:01,-nan
2012-07-01 00:50:01,48.4146805
2012-08-01 00:15:01,23.4221497
2012-09-01 00:40:01,23.6123867
2012-10-01 00:00:01,35.7556686
2012-11-01 00:05:01,45.352726
2012-12-01 00:15:01,22.5919514
2013-01-01 00:10:01,19.7508106
2013-02-01 00:30:00,29.3428097
2013-03-01 00:00:01,21.4241199
2013-04-01 00:15:01,26.5408688
2013-05-01 00:50:01,32.8923988
2013-06-01 00:15:00,45.1595917
2013-07-01 00:25:01,60.381546
2013-08-01 00:00:01,34.6934929
2013-09-01 00:35:00,24.2780361
2013-10-01 00:20:01,41.1544456
2013-11-01 00:10:00,24.2988873
2013-12-01 00:20:00,39.6113853
2014-01-01 00:45:01,44.289875
2014-02-01 00:00:00,33.2923622
2014-03-01 00:25:01,25.9610672
2014-04-01 00:15:01,30.5531559
2014-05-01 00:25:00,30.6280708
2014-06-01 00:00:00,40.4792519
2014-07-01 00:00:00,40.3820229
2014-08-01 00:45:01,30.932972
2014-09-01 00:10:01,17.8157234
2014-10-01 00:20:01,42.1068459
2014-11-01 00:45:01,24.089529
2014-12-01 00:00:01,37.9228859
2015-01-01 00:10:01,66.6478577
2015-02-01 00:05:00,81.1322174
2015-03-01 00:25:01,17.2524471
2015-04-01 00:00:01,16.5787201
2015-05-01 00:00:01,16.2888832
2015-06-01 00:45:01,30.1016197
2015-07-01 00:55:01,29.0286045
2015-08-01 00:20:01,44.9316101
2015-09-01 00:45:01,44.5955505
2015-10-01 00:00:01,18.8307228
2015-11-01 00:10:01,18.4488697
2015-12-01 00:25:01,28.7151852
2016-01-01 00:15:01,50.8819885
2016-02-01 00:35:00,58.6666031
2016-03-01 00:05:01,40.0789261
2016-04-01 00:00:00,22.2464199
2016-05-01 00:10:01,34.9271927
2016-06-01 00:55:01,41.1017227
2016-07-01 01:00:01,57.5294647
2016-08-01 00:30:00,27.115202
2016-09-01 00:00:00,37.3752022
2016-10-01 00:05:00,34.7594986
2016-11-01 00:25:00,23.9263248
2016-12-01 00:35:00,33.5312119
2017-01-01 00:25:01,49.9478645
2017-02-01 00:50:01,24.7194901
2017-03-01 00:10:01,17.6949272
2017-04-01 00:30:01,25.3161049
2017-05-01 01:00:00,32.443779
2017-06-01 00:30:01,37.4179726
2017-07-01 00:40:00,51.2418938
2017-08-01 00:05:01,55.4586792
2017-09-01 00:25:01,43.1094513
2017-10-01 00:35:00,16.7421932
2017-11-01 00:25:00,44.3336143
2017-12-01 00:05:01,52.9123039
2018-01-01 00:00:01,56.9331245
2018-02-01 00:20:00,23.1598835
2018-03-01 00:45:01,22.2589359
2018-04-01 00:00:00,23.8872623
2018-05-01 00:40:01,32.5367813
2018-06-01 00:05:01,32.6233597
2018-07-01 00:15:01,27.7259007
2018-08-01 01:00:00,36.3177223
2018-09-01 00:25:00,27.1439323
2018-10-01 00:05:01,40.4342346
2018-11-01 00:00:01,40.2747192
2018-12-01 00:10:01,28.9278202
2019-01-01 00:30:00,44.3261414
2019-02-01 00:20:00,28.633255
2019-03-01 00:10:01,18.8155518
2019-04-01 00:05:00,23.7472782
2019-05-01 00:15:00,29.2420254
2019-06-01 01:00:01,39.831501
2019-07-01 00:00:00,49.9737511
2019-08-01 00:35:01,50.6416512
2019-09-01 00:00:00,30.4777775
2019-10-01 00:10:01,30.8005753
2019-11-01 00:30:00,20.7036457
2019-12-01 23:55:01,24.156229
2020-01-01 00:00:00,16.5470562
2020-02-01 00:00:00,22.2128639
2020-03-01 00:25:01,24.5813694
2020-04-01 00:15:00,21.8071308
2020-05-01 00:25:00,19.1990299
2020-06-01 00:00:01,29.8867683
2020-07-01 00:00:01,33.3252106
2020-08-01 00:45:00,59.6119576
